First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Frank,Bove,"Assistant United States Attorney, EDPA and Senior Attorney, Criminal Division",31,"Obama, Bush II, Clinton, Bush I, Reagan, Ford, Nixon"
Irene,Bowen,"Deputy Chief, Disability Rights Section, Civil Rights Division",26,"Obama, Bush II, Clinton, Bush I, Reagan"
John,Bowen,Trial Attorney,6,"Reagan, Carter"
Dawn ,Bowen,"Appellate Chief, District Training Director",32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Robert,Boylan,Trial Attorney,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Esther,Boynton,Trial Attorney ,2.5,Carter
Myesha,Braden,Trial Attoney/Legislation & Policy Counsel,16,"Trump, Obama, Bush II"
Gregory,Brady,"Deputy General Counsel, OJP",44,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Michael,Brady,"Assistant United States Attorney, Chief, Criminal Division, WDNY ",4,"Reagan, Carter"
James,Brady,"United States Attorney, Western District Michigan",4,Carter
Kathryn,Braeman,"Deputy Director, Office of Information & Policy",5,"Reagan, Carter"
Alvin,Bragg,Assistant United States Attorney,3.5,Obama
Joyce,Branda,"Acting Assistant Attorney General, Civil Division",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bert,Brandenburg,Director of Public Affairs,5,Clinton
Robert,Breakstone,Chief Criminal Division (SF),11,"Bush I, Reagan, Nixon"
Laurie,Brecher,"Assistant United States Attorney in SDNY, Chief of General Crimes Unit, Senior Trial Counsel in Securities Fraud Task Force",10,"Clinton, Bush I, Reagan"
Kevin,Brenner,Assistant United States Attorney,9,"Trump, Obama, Bush II"
Kenneth ,Bresler,Trial Attorney,6,"Clinton, Bush I"
Susan,Bricklin ,Senior Litigation Counsel,37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bill,Briggs,"Senior Litigation Counsel, Assistant United States Attorney, DC",8,"Reagan, Carter, Ford"
Robert,Brink,Deputy Assistant Attorney General for Legislative Affairs,4,Clinton
Kathleen ,Brinkman,Assistant United States Attorney,24,"Bush II, Clinton, Bush I, Reagan, Carter"
Harland,Britz,Assistant United States Attorney,2,Kennedy
Stacey,Brodsky,"Chief, Civil Division SDNY, Chief of Appeals, Criminal Division",7,"Bush I, Reagan, Carter"
David M. ,Brodsky ,Assistant United States Attorney,5,"Reagan, Nixon"
Michael,Bromwich,Inspector General,12,"Clinton, Bush I, Reagan"
Barbara,Brook,Senior Litigation Counsel,28,"Obama, Bush II, Clinton, Bush I"
Bob,Brook,Assistant Section Chief,33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
J. R.,Brooks,United States Attorney for the Northern District of Alabama,4,"Reagan, Carter"
Jo,Brooks,Trial Attorney,6,"Bush I, Reagan"
Kathleen,Brosi,Attorney,3,"Reagan, Carter"
William H.,"Browder, Jr",First Assistant United States Attorney,31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Jason,Brown,"Chief, Criminal Division Eastern District of New York",9,"Clinton, Bush I"
Iris,Brown,Trial Attorney,2,Carter
Roberta,Brown,Legal Counsel to United States Attorney,14,"Bush II, Clinton, Bush I"
Mahlon,Brown,"United States Attorney, Nevada",4,Carter
Steph,Browne,Assistant United States Attorney ,22,"Obama, Bush II, Clinton, Bush I"
Walter,Brownridge,"Trial Attorney, Criminal Division ",4,"Clinton, Bush I"
Jay,Brozost,"Senior Trial Attorney, Fraud Section, Criminal Division",11,"Reagan, Carter, Ford"
Anthony,Bruce,Senior Litigation Counsel,38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
James,Bruen,"Assistant United States Attorney Chief, Civil Division, N.D. Cal. ",7,"Ford, Nixon"
Jules,Brunner,"Chief, Pittsburgh Strike Force",5,"Nixon, Johnson"
Ronald,Brunson,"Senior Litigation Counsel, Assistant United States Attorney",20,"Bush II, Clinton, Bush I"
Patricia,Buchanan,"Chief Immigration, Civil Division USAO SDNY",20,"Trump, Obama, Bush II, Clinton"
Jacob,Buchdahl,Assistant United States Attorney,5,Bush II
Bruce,Buckheit,Senior Counsel,10,"Bush II, Clinton, Bush I"
Samuel,Buell,Assistant United States Attorney,10,"Bush II, Clinton"
David,Bukey,"Interim United States Attorney, Eastern  District of Wisconsin, 1973-4, First Assistant United States Attorney Eastern District of Wisconsin, Assistant United States Attorney Eastern District of Wisconsin 1971-1977, Assistant United States Attorney Western District of Washington 1977-79",8,"Carter, Ford, Nixon"
David,Bullock,"Senior Counsel and Unit Director, Environmental Crimes Section",13,"Bush I, Reagan, Ford, Nixon"
Renee,Bunker,"Appellate Chief, District of Maine",21.5,"Trump, Obama, Bush II, Clinton"
Don,Burkhalter,United States Attorney,32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Paula,Burnett,First Assistant United States Attorney,26,"Obama, Bush II, Clinton, Bush I, Reagan"
James ,Burns,"United States Attorney, ND IL ",11,"Clinton, Carter, Ford, Nixon"
Barbara,Burr,Senior Trial Attorney,9,"Clinton, Bush I"
Sarah,Burr,Assistant Chief Immigration Judge,20,"Obama, Bush II, Clinton"
Joseph,Burton,"Chief Assistant United States Attorney, San Jose Office, Northern District of California ",11,"Reagan, Carter"
Paul,Butler,Trial Attorney,3,"Clinton, Bush I"
Michael,Byowitz,Senior Trial Attorney,4,"Reagan, Carter"
Edith T.,Byrne,"Director, Workers Compensation",26,"Bush II, Clinton, Bush I, Reagan, Carter"
Luis,C. deBaca,"Director, Office of Sex Offender Sentencing, Monitoring, Apprehending, Registering, and Tracking",18,"Trump, Obama, Bush II, Clinton"
Esmeralda,Cabrera,Immigration Judge,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Lisa,Cacheris Burnett,"Deputy Director, Office of International Affairs, Criminal Division",21,"Bush II, Clinton, Bush I, Reagan"
James,Cadogan,Counselor to the Attorney General,5,Obama
Mark,Califano,Assistant United States Attorney,12,"Bush II, Clinton, Bush I"
David,Callaway,Criminal Division Chief,18,"Obama, Bush II, Clinton"
Nikki,Calvano,Assistant Director,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Marshall,Camp,Assistant United States Attorney,4,"Obama, Bush II"
Cynthia,Campbell,Assistant United States Attorney,10,"Reagan, Carter"
Elizabeth ,Campbell,Assistant United States Attorney for Northern District of Alabama ,8,Carter
Susan,Campbell,"Chief, Environmental Protection Unit, United States Attorney's Office,  SDNY",7,Reagan
Carina,Campobasso,Trial Attorney,6,Clinton
Steve,Canfil,Trial Attorney,5,"Bush II, Reagan"
Ellen,Canfil (nee: Schwartz),"Law Clerk, Cleveland Strike Force",1,Reagan
Rachel,Cannon,Assistant United States Attorney,13,"Obama, Bush II"
Doug,Cannon,"Senior Litigation Counsel, MDNC",27,"Bush II, Clinton, Bush I, Reagan, Carter"
MIchael,Cannon,"Trial Attorney, Criminal Division",2,Carter
Bennett,Capers,Assistant United States Attorney,9,"Bush II, Clinton"
June,Carbone,Trial Attorney Civil Division,5,"Reagan, Carter"
Thomas,Carey,"Section Chief, Supervisory Special Agent",20,"Bush II, Clinton, Bush I, Reagan"
Stephen,Carlton,"Chief, United States Attorney's Office, S.D. Fla.",29,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Mary Elizabeth ,Carmody,Senior Litigation Counsel,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Debra,Carnahan,Assistant United States Attorney,3,Clinton
Charles,Carnese,Assistant United States Attorney,3,"Ford, Nixon"
Veta,Carney,Senior Trial Attorney,10,"Reagan, Carter"
Julia,Caroff,"Senior Litigation Counsel, Civil Division, United States Attorney's Office, ED MI ",26,"Obama, Bush II, Clinton, Bush I, Reagan"
Elizabeth,Carpenter ,Assistant United States Attorney ,9,"Obama, Bush II"
Gilbert,Carrasco,Special Assistant to Deputy Assistant Attorney General,4,"Reagan, Carter"
Steven,Carroll,"Assistant Chief, Indian Resources Section, ENRD",27,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Zachary,Carter,"United States Attorney, EDNY",10,"Clinton, Carter"
Bruce,Carter,"Chief, Economic Crime Unit",30,"Clinton, Bush I, Reagan, Ford, Nixon, Johnson"
William,Carter,"Section Chief, Assistant United States Attorney, CDCA",14,"Bush II, Clinton, Bush I"
Neil,Cartusciello,"Chief, Environmental Crimes Section, United States Department of Justice; also First Deputy Chief, Criminal Division, United States Attorney's Office, SDNY",12,"Clinton, Bush I, Reagan"
Debora,Caruth,Senior Counsel,23,"Obama, Bush II, Clinton, Bush I"
Peter,Casey,"Special Attorney (OCR), Assistant United States Attorney (D. of Ct.)",7,"Carter, Ford, Nixon"
Eugene,Casey,Unit Chief,21,"Trump, Obama, Bush II, Clinton"
Stefan,Cassella,Section Chief,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Kevin,Cassidy,Senior Trial Attorney,8,"Obama, Bush II"
John,Caudill,Assistant United States Attorney,16,"Bush II, Clinton, Bush I"
Marvin,Caughman,"Deputy Chief, Criminal Division, DSC",33,"Bush II, Clinton, Bush I, Reagan, Carter"
William,Causey,Assistant Counsel OPR,3,"Obama, Bush II"
Katherine,Chaddock Janka,"Associate Director of Communications, LEAA",4,Nixon
A. Nathaniel,Chakeres,Trial Attorney,6,Obama
Christopher,Chambers,Enforcement Attorney,4,"Bush II, Clinton"
Felicia ,Chambers ,Senior Trial Counsel ,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Subodh,Chandra,Assistant United States Attorney,3.5,"Bush II, Clinton"
Teofilo,Chapa,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Jonathan,Chapman,"Chief, Criminal Division",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
James,Chapman,Assistant United States Attorney ,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Jeffrey,Chase,Immigration Judge,22,"Trump, Obama, Bush II, Clinton"
Sarah,Chasson,Assistant United States Attorney,13,"Obama, Bush II, Clinton"
Raja,Chatterjee ,Trial Attorney,4,"Bush II, Clinton"
Vicki,Cheikes,Senior Trial Attorney,10,"Reagan, Carter, Ford, Nixon"
Erwin,Chemerinsky,Attorney,1,Carter
Ernest ,Chen,"Special Attorney, Organized Crime Section ",5,"Carter, Ford"
Christine ,Chenevert ,Assistant United States Attorney ,1,Reagan
George,Chew,Immigration Judge,21,"Trump, Obama, Bush II, Clinton"
Patricia,Chick,Trial Attorney,28,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Rockne,Chickinell,"General Counsel, United States Parole Commission",39,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Ronald,Chillemi,Assistant United States Attorney,9,"Obama, Bush II"
Nanda,Chitre,Acting Director of Public Affairs,2,Obama
Arthur,Chotin,Senior Trial Attorney,4,"Nixon, Johnson"
Betsy,Chotin,Research Analyst,4,"Nixon, Johnson"
Carlie,Christensen,Interim United States Attorney,25,"Obama, Bush II, Clinton, Bush I"
Michael,Christensen,Assistant United States Attorney,20,"Bush II, Clinton, Bush I, Reagan"
Edward,Chung,Senior Advisor,10,"Obama, Bush II"
Christine,Chung,"Chief of Appeals, SDNY",12,"Bush II, Clinton, Bush I"
Mary Frances,Clark,Tax Division Appellate Attorney,15,"Clinton, Bush I, Reagan, Carter"
Burney,Clark (Huber),Senior Trial Attorney,34,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson, Kennedy, Eisenhower"
Kristen,Clarke,Attorney ,5,"Bush II, Clinton"
Dan,Clement,Assistant United States Attorney,6.5,"Reagan, Carter"
Ben,Clements,Assistant United States Attorney,7,Clinton
Melford,Cleveland,Acting Section Chief,18,"Nixon, Johnson, Kennedy, Eisenhower"
Marvin,Coan,Trial Attorney Civil Division,4,"Carter, Ford"
James,Coda,Assistant United States Attorney,17,"Bush II, Clinton, Bush I"
Tristram,Coffin,United States Attorney,17,"Obama, Bush II, Clinton"
Thomas,Coffin,Chief of the Criminal Division Southern District of California,21,"Bush I, Reagan, Carter, Ford, Nixon"
Barbara,Cohan-Saavedra ,Assistant United States Attorney/ Criminal Division & OCDETF,24,"Bush II, Clinton, Bush I, Reagan"
Eugene,Cohen,Senior Trial Counsel,5,Clinton
Norman,Cohen,"Assistant United States Attorney, District of Vermont",3.5,Nixon
Brent,Cohen,Senior Advisor,2.5,Obama
Sanford,Cohen,"Chief of Civil Rights, Assistant United States Attorney, EDNY",10,"Bush II, Clinton"
Derek,Cohen ,"Deputy Chief, Fraud Section ",9.5,"Obama, Bush II"
Michael,Cohn,Trial Attorney,4,"Carter, Ford"
William,Cole,"Attorney, Civil Division Appellate Staff",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Ronald ,Cole ,Assistant United States Attorney ,31,"Bush II, Clinton, Bush I, Reagan, Carter"
Sandra,Coleman,Immigration Judge,24,"Clinton, Bush I, Reagan, Carter"
Wendy Susan,Collins,Trial Attorney ,3.5,"Reagan, Carter"
