First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Gerald,Shur,"Senior Associate Director, Office of Enforcement Operations, Criminal Division",34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson, Kennedy"
James,Kovakas,"Attorney In Charge , FOI/PA Unit Civil Division",33,Obama;Bush II;Clinton;Bush I;Reagan
Barry,Kowalski,Special Counsel,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Robert Gay,Guthrie,"FAUSA, Colorado and EDOK",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Ronnie,Edelman,"Principal Deputy Chief, Counterterrorism Section, National Security Division",33,Obama;Bush II;Clinton;Bush I;Reagan;Carter;Ford
David,Blotner,Assistant Chief,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Leibson,Senior Litigation Counsel Eastern District Michigan,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Salliann  S.  M.,Dougherty,"Senior Trial Attorney, Civil Rights Division",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Mark,Vogel,Supervisory Assistant U.S. Attoeney,33,"Clinton, Bush I, Reagan, Carter, Ford"
Peter,Maier,"Attorney, Civil Appellate",33,"Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Schenck,"Chief of Criminal Division, USAO, EDPA",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Stephen,Andersson,Deputy Chief Public Corruption and Organized Crime,32,Obama;Bush II;Clinton;Bush I;Reagan
Peter,Monson,"Managing Attorney, Denver Regional Office, ENRD",32,"Obama, Bush II, Clinton, Bush I, Reagan"
James,Chapman,Assistant U.S. Attorney,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Rodolfo,Orjales,Senior Trial Attorney,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Mo,Samara,"Principal Deputy Director, Office of International Affairs",32,"Bush II, Clinton, Bush I"
Henry,LaHaie,"Assistant Director, Office of Consumer Litigation",32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Elliott,Jacobson,"Senior Litigation Counsel, SDNY",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
James,Cowles,AUSA OCDETF Lead Attorney,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Joyce,Hundley,Trial Attorney,32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Robert,Nesler,Assistant U.S. Attorney,31,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Stephen,Samuels,Assistant Section Chief,31,Trump;Obama;Bush II;Clinton;Bush I;Reagan
Stephen,Learned,Assistant U.S. Attorney,31,"Bush II, Clinton, Bush I, Reagan, Carter"
Barbara,Kammerman,"Former Acting Director, Professional Responsibility Advisory Office",31,"Obama, Bush II, Clinton, Bush I, Reagan"
Robert,Bondi,Senior Litigation Counsel,31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
David,Allred,"Deputy Chief, Criminal Section, Civil Rights Division",31,"Bush II, Clinton, Bush I, Reagan, Carter"
Louis,Fischer,"Senior Attorney, Criminal Division",30,Bush II;Clinton;Bush I;Reagan;Carter
Peter,Sobol,Assistant United States Attorney (SDNY),30,Obama;Bush II;Clinton;Bush I;Reagan
James,Moroney,"Section Chief, National Security Unit, ND Ohio ",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Mary Lou,Leary,Principal Assistant Attorney General,30,"Obama, Bush II, Clinton, Bush I"
Mary Beth,Uitti,"Chief, Civil Division",30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
James,Springer,Senior Counsel for International Tax Matters,30,Bush II;Clinton;Bush I;Reagan;Carter;Ford
Ellyn,Lindsay,Senior Litigation Counsel,30,Obama;Bush II;Clinton;Bush I;Reagan
M. Neil,Smith,Senior Litigation Counsel,30,Obama;Bush II;Clinton;Bush I;Reagan
Stefan,Cassella,"Chief, Asset Forfeiture and Money Laundering Section, D. Maryland",30,Obama;Bush II;Clinton;Bush I;Reagan
Debra,Long-Doyle,Executive Assistant U.S. Attorney for Community Service for the District of Columbia,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Bruce,Carter,"Chief, Economic Crime Unit, Western District of Washington",30,Bush II;Clinton;Bush I;Reagan;Carter;Ford;Nixon
Jeffrey,Auerhahn,Assistant U.S. Attorney,30,Trump;Obama;Bush II;Clinton;Bush I;Reagan;Carter
Gerard,Hogan,"Senior Litigation Counsel, Criminal Section, Civil Rights Division",30,Trump;Obama;Bush II;Clinton;Bush I;Reagan
Guy,Blackwell,Acting US Attorney/First Assistant. EDTN,30,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Scadron,Senior Trial Counsel,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
William H,Browder Jr,First Assistant U.S Attorney,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mary Elizabeth ,Carmody ,Senior Litigation Counsel ,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Kendra,McNally,"Senior Litigation Counsel, Assistant United States Attorney",30,"Obama, Bush II, Clinton, Bush I, Reagan"
James,Sutherland,Civil Chief,30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Richard,Ugelow,Deputy Section Chief,29,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Stephen,Schroeder,"Senior Litigation Counsel, W.D.WA",29,Bush II;Clinton;Bush I;Reagan;Carter;Ford;Nixon
Karen,Loeffler,United States Attorney for the District of Alaska,29,Trump;Obama;Bush II;Clinton;Bush I;Reagan
Canella,Henrichs,Assistant U.S. Attorney,29,"Bush II, Clinton, Bush I, Reagan, Carter"
Julie,Werner-Simon,"Senior Litigation Counsel, Major Frauds",29,Obama;Bush II;Clinton;Bush I;Reagan
Rhonda,Backinoff,"Assistant Director, Office of Legal Education",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Harry,McCarthy,Criminal Chief,28,Clinton;Bush I;Reagan;Carter;Ford;Nixon
Michael,Karam,Senior Trial Attorney,28,Bush II;Clinton;Bush I;Reagan;Carter
Nikki,Calvano,Assistant Director EOUSA,28,Obama;Bush II;Clinton;Bush I;Reagan
Stuart,Berman,"Chief, Southern Division, US Attorney's Office, District of Maryland",28,Obama;Bush II;Clinton;Bush I;Reagan
Mary,Grad,Assistant U. S. Attorney,28,Obama;Bush II;Clinton;Bush I;Reagan
Noel Anne,Ferris,Immigration Judge,28,"Obama, Bush II, Clinton, Bush I"
Barbara,Brook,Senior Litigation Counsel,28,"Obama, Bush II, Clinton, Bush I"
Sara,Criscitelli,"Assistant Director, Office of International Affairs",27,Bush II;Clinton;Bush I;Reagan;Carter;Ford
Harriett,Galvin,Assistant U.S. Attorney,27,Obama;Bush II;Clinton;Bush I
Gene,Rossi,"Supervisory Assistant United States Attorney, Eastern District of Virginia",27,"Obama, Bush II, Clinton, Bush I"
Stewart,Robinson,"Principal Deputy Director, Office of International Affairs",27,"Obama, Bush II, Clinton, Bush I, Reagan"
Christopher,Bator,Assistant U.S. Attorney,27,Trump;Obama;Bush II;Clinton;Bush I
Glenda,Gordon,Supervisory AUSA,27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Jeffrey,Kent,AUSA ,27,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Gerald,Doyle,Regional Director OCDETF,27,"Obama, Bush II, Clinton, Bush I"
Sara,Lord,Assistant United States Attorney ,27,"Obama, Bush II, Clinton, Bush I, Reagan"
Joseph,Payne,"Senior Trial Attorney, Criminal Division, Main Justice",27,"Bush II, Clinton, Bush I, Reagan, Carter"
Joan,Safford,First Assistant United States Attorney,27,"Bush II, Clinton, Bush I, Reagan, Carter"
Eric,Marcy,"Deputy Chief, Trial Grand Jury Section, USA on,dc",27,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Richard ,Cuellar,"Special Assistant US Atty - Phoenix, AZ",27,"Obama, Bush II, Clinton, Bush I, Reagan"
Scott,Ray,"Deputy Chief, Major Crimes Section",27,"Obama, Bush II, Clinton, Bush I, Reagan"
Susan,Roe,AUSA,27,"Trump, Obama, Bush II, Clinton, Bush I"
Lawrence,Lincoln,"Supervisory Assistant US Attorney; Special Counsel, DOJ Office of Inspector General",27,"Obama, Bush II, Clinton, Bush I, Reagan"
William,Yeomans,Acting Assistant Attorney General for Civil Rights,26,Bush II;Clinton;Bush I;Reagan;Carter
Peter,Gray,Trial Attorney,26,"Obama, Bush II, Clinton, Bush I"
Joyce,Vance,United States Attorney for the Northern District of Alabama,26,"Obama, Bush II, Clinton, Bush I"
Paul,Pelletier,"Chief, Fraud Section, Criminal Division",26,Obama;Bush II;Clinton;Bush I;Reagan
Paula ,Burnett ,First Assistant U.S. Attorney DNM,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Carl,Blackstone ,Supervisor ,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Daniel,Drake,Executive Assistant U.S. Attorney,26,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
SuzAnne,Nyland,Assistant United States Attorney ,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Judith,Dobkin,Assistant U.S. Attorney,25,Bush II;Clinton;Bush I;Reagan;Carter
Michael,Stern,Assistant U.S. Attorney,25,Obama;Bush II;Clinton;Bush I
Jonathan,Howden,Assistant United States Attorney,25,Bush II;Clinton;Bush I;Reagan;Carter
James,Peters,Assistant U.S. Attorney,25,"Trump, Obama, Bush II, Clinton, Bush I"
June,Jeffries,Assistant U.S. Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Elizabeth,de la Vega,"Chief, San Jose Branch, United States Attorney's Office, Northern District of California",25,Bush II;Clinton;Bush I;Reagan
Gregory,Linsin,Senior Litigation Counsel,25,"Bush II, Clinton, Bush I, Reagan"
Sylvia,Royce,"Chief, International Prisoner Transfer; Assistant U.S. Attorney",25,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Daniel,Bogden,"United States Attorney, District of Nevada",25,"Trump, Obama, Bush II, Clinton, Bush I"
Ross,Nadel,"Chief, Criminal Division, ND of CA",25,"Bush II, Clinton, Bush I, Reagan, Carter"
John,Robinson,"AUSA, Senior Litigation Counsel, SD Cal",25,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Jared,Gordon,Assistant to the Attorney General,25,"Trump, Obama, Bush II"
Celeste,Miller,Assistant U.S. Attorney,24,Obama;Bush II;Clinton;Bush I;Reagan
James,Schermerhorn,Special Litigation Counsel,24,Clinton;Bush I;Reagan;Carter;Ford;Nixon
Kathleen,Brinkman,Assistant U.S. Attorney,24,Bush II;Clinton;Bush I;Reagan;Carter
Nancy,Simpson,"Administrative Assistant U.S. Attorney, Eastern District of California",24,"Clinton, Bush I, Reagan, Carter"
Susan,French,Senior Special Counsel for Human Trafficking,24,Obama;Bush II;Reagan;Carter
Wendy,Olson,"U.S. Attorney, District of Idaho",24,Obama;Bush II;Clinton;Bush I
Hope P.,McGowan,"Senior Attorney-Advisor, Office of the Pardon Attorney",24,"Obama, Bush II, Clinton, Bush I"
Andrew,Levchuk,Senior Trial Attorney,24,"Obama, Bush II, Clinton, Bush I, Reagan"
D. Gerald,Wilhelm,Deputy Chief Civil Division,24,"Obama, Bush II, Clinton, Bush I"
Terri,Scadron,Assistant Director,24,"Trump, Obama, Bush II, Clinton"
Barbara J.,Cohan,Assistant U.S. Attorney,24,"Bush II, Clinton, Bush I, Reagan"
Clifford (Larry),"Mathews, Jr",Chief Criminal Division for the US Attorney for the Western District of Texas,24,"Bush II, Clinton, Bush I, Reagan"
Mary,McCord,Former Acting Assistant Attorney General for National Security,23,"Trump, Obama, Bush II, Clinton"
Rob. B. ,Villeza,"Deputy Chief, Organized Crime and Drug Enforcement Task Force Section",23,"Obama, Bush II, Clinton, Bush I"
Ilene,Jaroslaw,"Chief, General Crimes",23,"Obama, Bush II, Clinton, Bush I"
Jay,Adelstein,Sr Trial Attorney,23,"Trump, Obama, Bush II, Clinton"
Amy,Kurland,Assistant United States Attorney,23,"Obama, Bush II, Clinton, Bush I, Reagan"
Ann,Harwood,First Assistant U.S. Attorney,23,"Trump, Obama, Bush II, Clinton"
Cynthia,Oberg,"Chief, White Collar Crime Unit",22,Obama;Bush II;Clinton;Bush I;Reagan
Tressa,Borland,Senior Trial Attorney,22,"Bush II, Clinton, Bush I, Reagan"
John,Warshawsky,Senior Trial Counsel,22,Obama;Bush II;Clinton;Bush I
Robert,Brouillard,Assistant United States Attorney,22,Obama;Bush II;Clinton;Bush I
Dan,Zachem,"Deputy Chief, Superior Court Division, USAO Washington DC",22,Obama;Bush II;Clinton;Bush I
Marietta,Parker,Interim U.S. Attorney,22,"Bush II, Clinton, Bush I"
Caryl,Privett,U. S. Attorney,22,Clinton;Bush I;Reagan;Carter;Ford
Robert A.,Feitel,Deputy Chief,22,"Obama, Bush II, Clinton, Bush I, Reagan"
Eloise,Rosas,"District Counsel, INS",22,"Bush II, Clinton, Bush I, Reagan, Carter"
John,Gerrish,Attorney,22,Obama
Richard,Scruggs,Assistant to the Attorney General,22,"Clinton, Bush I, Reagan, Carter"
R Jerome,Sanford,Assistant U.S. Attorney,22,"Bush II, Clinton, Bush I, Carter, Ford"
Jim,Lord,"Chief, Organized Crime Strike Force, WDWA",22,"Obama, Bush II, Clinton, Bush I, Reagan"
Lucy,Thomson,Senior Attorney,22,"Clinton, Bush I, Reagan, Carter"
Douglas,Whalley,"Assistant U.S. Attorney, Western District of Washington, Supervisor of Criminal Enterprises Unit",21,Obama;Bush II;Clinton;Bush I
Patrick,McLaughlin,Assistant United States Attorney,21,Obama;Bush II;Clinton;Bush I
Gerald,Hebert,Deputy Chief,21,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Denise,O’Donnell,"Director, Bureau of Justice Assistance, US Attorney, Western District of New York",21,"Obama, Clinton, Bush I, Reagan"
Jay,McCloskey,U.S. Attorney (D. Maine),21,"Clinton, Bush I, Reagan, Carter"
Thomas,Coffin,Chief of the Criminal Division Southern District of California,21,"Bush I, Reagan, Carter, Ford, Nixon"
Laura,Tayman,Supervisory AUSA,21,"Obama, Bush II, Clinton, Bush I"
James,Woods,Assistant United States Attorney ,21,"Obama, Bush II, Clinton, Bush I, Reagan"
Steven,Dettelbach,"United States Attorney, N.D. Ohio",21,"Obama, Bush II, Clinton, Bush I"
Ruth E. ,Plagenhoef,Interim US Attorney for the Western District of Virginia,21,"Obama, Bush II, Clinton, Bush I"
Paul,Fishman,United States Attorney,21,"Trump, Obama, Clinton, Bush I, Reagan"
Christopher,Alberto,"Chief, Financial Litigation & Justice Enforcement Team",20,"Obama, Bush II, Clinton, Bush I"
Barbara,Kittay,"Deputy Chief, Money Laundering Section, Criminal Division",20,Bush II;Clinton;Bush I;Reagan
Deborah,Ferguson,Assistant United States Attorney District of Idaho,20,"Obama, Bush II, Clinton, Bush I"
John,Fleder,"Director, Office of Consumer Litigation, Civil Division",20,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Peter,Smith,"U.S. Attorney, Middle District of PA",20,Obama;Clinton;Reagan;Carter;Ford
Katharine,Fincham,"Chief, Cyber Crimes and Child Exploitation Unit",20,Obama;Bush II;Clinton
Barbara,Colby Tanase, Assistant U.S. Attorney,20,"Obama, Bush II, Clinton, Bush I"
Daniel,Mullies,Assistant Director,20,"Trump, Obama, Bush II, Clinton, Bush I"
Allan,Garten,"Chief, White Collar Crimes Unit",20,"Obama, Bush II, Clinton"
Rachel,Ballow,Assistant U.S. Attorney- EDVa,20,"Bush II, Clinton, Bush I"
David,Hopkins,"AUSA, EDVA, Court appointed USA ",20,"Bush I, Reagan, Carter, Ford, Nixon, Johnson, Kennedy"
Steven,O’Connor,Assistant United States Attorney,20,"Obama, Bush II, Clinton, Bush I"
Suzanne C,Hayden,Senior Trial Attorney; AUSA,20,"Obama, Bush II, Clinton, Bush I"
Michael,Magner,AUSA,20,"Obama, Bush II, Clinton, Bush I"
Sunny,Pietrafesa,Senior Trial Attorney,20,"Obama, Bush II, Clinton, Bush I"
Jeffrey,Sloman,"United States Attorney, Southern District of Florida ",20,"Obama, Bush II, Clinton, Bush I"
James,West,United States Attorney (MDPa),20,"Bush I, Reagan, Carter, Ford"
Daniel,Cassidy,Senior Trial Attorney - Narcotic & Dangerous Drug Section,20,"Bush II, Clinton, Bush I, Reagan"
Timothy,Heaphy,"United States Attorney, Western District of Virginia",20,"Obama, Bush II, Clinton, Bush I"
Hank,Shea,"Chief, Economic Crime Section D. MN",20,"Bush II, Clinton, Bush I, Reagan"
Patrick,Bupara,"Chief Assistant U.S. Attorney, ND Cal.",20,"Clinton, Bush I, Reagan, Carter, Ford"
Jeffrey,Bornstein,Senior Litigation Counsel,19.6,"Bush II, Clinton, Bush I, Reagan"
Peter,Rient,Acting Deputy Assistant Attorney General,19,"Reagan, Carter, Ford, Nixon"
W. Thomas,Dillard,"U.S. Attorney, NDFL",19,"Reagan, Carter, Ford, Nixon, Johnson"
Kristy,Parker,"Deputy Chief, Criminal Section, Civil Rights Division",19,Trump;Obama;Bush II;Clinton
Barbara,McQuade,United States Attorney for the Eastern District of Michigan,19,"Trump, Obama, Bush II, Clinton"
Paul,Weissman,"Supervisory Assistant U.S. Attorney; Chief, Financial Institution Fraud Unit, D.N.J.",19,"Bush II, Clinton, Bush I, Reagan"
Ronald,McNeil,Senior Litigation Counsel,19,"Trump, Obama, Bush II, Clinton"
John,Joseph,"AUSA, Deputy Chief",19,"Bush II, Clinton, Bush I, Reagan"
Roger,Martin,Assistant to prosecutor for US northern district Ohio,19,"Obama, Bush II"
William,Gurin,"Deputy Chief, General Crimes, EDNY ",19,"Bush II, Clinton, Bush I"
Jeffrey,Johnson,"Special Attorney, Criminal Division, DOJ",18,Bush I;Reagan;Carter;Ford;Nixon
Ira,Belkin,"Chief, Criminal Division USAO-RI",18,"Bush II, Clinton, Bush I, Reagan"
Wilmer,Parker,"AUSA, Chief of Narcotics & Lead OCDETF Attorney NDGa.",18,"Clinton, Bush I, Reagan, Carter"
Catharine,Goodwin,"Assistant U.S. Attorney, Colorado (1983-1989) and N. California (1989-1993); Attorney Advisor, EOUSA 2001-2004.",18,"Bush II, Clinton, Bush I"
Steven,Miller,"Chief, Special Prosecutions Division, ND Il",18,"Clinton, Bush I, Reagan, Carter"
Mark,Ehlers,Assistant United States Attorney (EDPA & DDC),18,"Bush II, Clinton, Bush I, Reagan"
Margaret,Smith,Assistant United States Attorney,18,"Bush II, Clinton, Bush I, Reagan"
Robert,Ogren,"Chief, Fraud Section, Criminal Divisio",18,"Reagan, Carter, Ford, Nixon, Johnson"
Randal,Sengel,"AUSA, WD OK",18,"Obama, Bush II, Clinton"
Alleen,VanBebber,Deputy U.S. Attorney,18,"Bush II, Clinton, Bush I, Reagan, Carter"
Robert,Kent,"Chief, Complex Fraud Section, USAO NDIL",17,Bush II;Clinton;Bush I
Mary,Spearing,"Chief, Fraud Section. Criminal Division",17,Clinton;Bush I;Reagan;Carter
Joseph,McSorley,"Chief Assistant U.S. Attorney, Southern District of Florida",17,Reagan;Carter;Ford;Nixon
Peter,Zeidenberg,Deputy Special Counsel,17,"Bush II, Clinton, Bush I"
Ana,Barnett,"Executive Assistant United States Attorney, Southern District of FL",17,"Clinton, Bush I, Reagan, Carter"
Margaret E. ,Curran,United States Attorney,17,"Bush II, Clinton, Bush I, Reagan"
Tristram,Coffin,U.S. Attorney,17,"Obama, Bush II, Clinton"
David,Uhlmann,"Chief, Environmental Crimes Section (ENRD)",17,"Bush II, Clinton, Bush I"
Amy,Lecocq,Associate Deputy Attorney General,17,"Bush II, Clinton, Bush I, Reagan"
J. Christopher,Moore,"AUSA, Civil Chief SDIL",17,"Obama, Bush II, Clinton"
Thomas,Gannon,"Attorney, Criminal Appellate, DOJ",17,"Bush II, Clinton, Bush I"
Crossan ,Andersen ,Assistant United States Attorney,17,"Reagan, Carter, Ford, Nixon"
Robert,Kurzweil,"Assistant-in-Charge, Camden, NJ",17,"Bush II, Reagan, Carter, Ford"
Elizabeth ,Woodcock,Assistant US Attorney ,17,"Bush II, Clinton, Bush I"
Robert,Bloch,"Chief Professions & Intellectual Property Section, Antitrust Division",17,"Clinton, Bush I, Reagan, Carter, Ford"
Amy,Howe,Assistant United States Attorney,16.8,"Obama, Bush II, Clinton"
John,Youngquist,"Assistant U.S. Attorney, Chief Tax Division, ND Calif.",16,Carter;Ford;Nixon;Johnson;Kennedy
Mimi,Rocah,"Assistant United States Attorney, Southern District of New York",16,"Obama, Bush II"
Andrew,Huang,"Assistant U.S. Attorney, Trial Attorney",16,"Obama, Bush II, Clinton"
S Gay,Hugo-Martinez,"Deputy Chief, Fraud Section, U S Attorney's office for the Southern District of California",16,Clinton;Bush I;Reagan;Carter
Thomas,Roche,Associate United States Attorney,16,Clinton;Bush I;Reagan;Carter
Carmina,Hughes,"Supervisory Assistant U.S. Attorney, Head of Priority Crimes",16,Bush II;Clinton;Bush I;Reagan
Marcia,Jensen,Assistant United States Attotney,16,"Bush II, Clinton, Bush I, Reagan"
Cheryl,O'Connor,"Assistant United States Attorney, Deputy Chief, Public Corruption and Civil Rights Section, Central District of California",16,Obama;Bush II;Clinton
Despena,Billings,"Assistant United States Attorney, Deputy Chief of Major Crimes, Boston MA",16,"Bush II, Clinton, Bush I"
Janet,Katz,Trial Attorney,16,"Bush II, Clinton, Bush I, Reagan"
David,Shapiro,"United States Attorney, Northern District of California",16,"Bush II, Clinton, Bush I, Reagan"
Jan Paul,Miller,United States Attorney for the Central District of Illinois,16,"Bush II, Clinton, Bush I"
Alain,Leibman,"Senior Litigation Counsel, Deputy Chief, D.N.J.",16,"Bush II, Clinton, Bush I, Reagan"
Mark,Josephs,Assistant Director,16,"Obama, Bush II, Clinton"
Hartley,West,"Assistant U.S. Attorney, Deputy Chief",15.5,"Trump, Obama, Bush II"
Mary,Pougiales,Assistant United States Attorney,15,Bush II;Clinton;Bush I;Reagan
Rosemary,Nidiry,Assistant U.S. Attorney ; Attorney-Advisor,15,Obama;Bush II;Clinton
Patricia,Vroom,District Counsel - Phoenix District,15,"Obama, Bush II, Clinton, Bush I"
Miriam,Krinsky,"Chief, Criminal Appeals",15,Bush II;Clinton;Bush I
Serrin,Turner,Assistant US Attorney,15,Obama;Bush II
Colleen,Coughlin,Assistant U.S. Attorney,15,"Bush II, Clinton, Bush I"
Lee,Altschuler,"Chief, Silicon Valley Branch Ofc, ND CA",15,"Clinton, Bush I, Reagan"
Judith,Hetherton,"Associate Independent Counsel (Iran Contra); Deputy Chief, U.S. Attorney’s Office, D.C.",15,"Reagan, Carter, Ford, Nixon"
Dwight,Holton,United States Attorney for the District of Oregon,15,"Obama, Bush II, Clinton"
Henry,Frohsin,"First Assistant US Attorney, ND Ala. 3 Presidents",15,"Reagan, Carter, Ford, Nixon"
Bruce,Marshack,Assistant United States Attorney,15,"Bush II, Clinton, Bush I, Reagan"
James,Gross,Trial Attorney Antitrust Division,15,"Clinton, Bush I, Reagan"
Linda,Barr,"Deputy Chief, OCDETF",15,"Trump, Obama, Bush II"
Ronald,Brunson,Senior Litigation Counsel,15,"Bush II, Clinton, Bush I"
Robert,Troyer,United States Attorney,15,"Trump, Obama, Bush II, Clinton"
Lois,Schiffer,"Assistant Attorney General, Environment and Natural Resources Division",14,"Clinton, Reagan, Carter"
Robert,Sadowski,Health Care Fraud Coordinator,14,"Bush II, Clinton"
Ralph,Martin,Senior Trial Attorney,14,Clinton;Bush I;Reagan;Carter;Ford
Roy,Austin,Deputy Assistant Attorney General,14,"Obama, Bush II, Clinton"
