First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Kathleen,Brosi,Director of complex case management,3,"Reagan, Carter"
William H,"Browder, Jr",First Assistant United States Attorney,31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Roberta,Brown,Legal Counsel to United States Attorney,14,"Bush II, Clinton, Bush I"
Mahlon,Brown,"United States Attorney, Nevada",4,Carter
Jennifer,Brown,Assistant United States Attorney,3.5,Clinton
Jay,Brozost,Senior Trial attorney  Fraud Section Criminal Division ,11,"Reagan, Carter"
James,Bruen,Chief of Civil Division N. D. Cal. ,7,"Carter, Ford, Nixon"
Jules,Brunner,"Chief, Pittsburgh Organized Crime Strike Force",5,"Nixon, Johnson"
Ronald,Brunson,Senior Litigation Counsel,15,"Bush II, Clinton, Bush I, Reagan"
John,Bryson,Attorney,25,"Bush II, Clinton, Bush I, Reagan"
Nancy ,Bryson,"Assistant Chief, Environmental Defense Section, Land and Natural Resources Divisionn",5,"Reagan, Carter"
Patricia,Buchanan,"Chief Immigration Unit, Civil Division USAO SDNY",21,"Trump, Obama, Bush II, Clinton"
Jacob,Buchdahl,Assistant United States Attorney,5,Bush II
Samuel,Buell,Assistant United States Attorney,10,"Bush II, Clinton"
David,Bukey,Interim United States Attorney,8,"Carter, Ford, Nixon"
David,Bullock,"Senior Counsel and Unit Director, Environmental Crimes Section",13,"Bush I, Reagan, Ford, Nixon"
Paula,Burnett,First Assistant United States Attorney,26,"Obama, Bush II, Clinton, Bush I"
Sarah,Burr,Assistant Immigration Judge,20,"Obama, Bush II, Clinton"
Joseph,Burton,"Chief Assistant, San Jose Office, Northern District of California ",11,"Reagan, Carter"
Paul,Butler,Trial Attorney,4,"Clinton, Bush I"
Jim,Butnsy,"United States Attorney, ND IL",11,"Clinton, Carter, Ford, Nixon"
David,Buvinger ,Assistant United States Attorney,41,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Kenneth ,Bynum,Assistant United States Attorney,3.5,Reagan
Edith T.,Byrne,"Director, Workers Compensation Program",27,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Luis,C.deBaca,"Director, Office of Sex Offender Sentencing, Monitoring, Apprehending, Registering, and Tracking",19,"Trump, Obama, Bush II, Clinton"
Lisa,Cacheris Burnett,"Deputy Director, Office of International Affairs, Criminal Division",21,"Bush II, Clinton, Bush I, Reagan"
James,Cadogan,Counselor to the Attorney General ,5,Obama
Nikki,Calvano,Assistant Director,27,"Obama, Bush II, Clinton, Bush I"
Marshall,Camp,Assistant United States Attorney,4,"Obama, Bush II"
Cynthia,Campbell,Assistant United States Attorney,10,"Reagan, Carter"
Steve,Canfil,Trial Attorney,5.5,"Bush II, Clinton, Reagan"
Ellen,Canfil,Law Clerk,1,Reagan
Douglas,Cannon,"Senior Litigation Counsel, MDNC",27,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Cannon,Trial Attorney,2,Carter
Mary Elizabeth ,Carmody ,Senior Litigation Counsel ,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Debra,Carnahan,Assistant United States Attorney,3,Clinton
Charles,Carnese,Assistant United States Attorney,3,"Ford, Nixon"
Gilbert,Carrasco,Special Assistant to the Deputy Assistant Attorney General,4,"Reagan, Carter"
Steven,Carroll,"Assistant Chief, Indian Resources Section, ENRD",27,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Bruce,Carter,"Chief, Economic Crime Unit, W.D. WA",30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
William,Carter,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Peter,Casey,"Special Attorney OC&R, Assistant United States Attorney, District of CT",8,"Carter, Ford, Nixon"
Daniel,Cassidy,"Senior Trial Attorney, DOJ, Narcotic & Dangerous Drug Section",20,"Bush II, Clinton, Bush I, Reagan"
A. Nathaniel,Chakeres,Trial Attorney,6,Obama
Felicia ,Chambers ,Senior Trial Counsel,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Subodh,Chandra,Assistant United States Attorney,3.5,"Bush II, Clinton"
Teofilo,Chapa,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Linda,Chapman,Assistant United States Attorney,12,"Bush I, Reagan, Carter"
Jeffrey,Chase,Immigration Judge,22,"Trump, Obama, Bush II, Clinton"
Raja,Chatterjee,Trial Attorney,5,"Bush II, Clinton"
Ernest ,Chen ,"Special Attorney, Organized Crime Section ",5,"Carter, Ford"
Christine ,Chenevert ,Assistant United States Attorney,1,Reagan
Heather,Childs,Associate Deputy Attorney General and Chief of Staff to the Deputy Attorney General,10,"Obama, Bush II"
Lily,Chinn,Trial Attorney,7.8,"Bush II, Clinton"
Nanda,Chitre,"Acting Director, Office of Public Affairs",4,"Obama, Bush I, Reagan"
Arthur,Chotin,Senior Trial Attorney,4,"Nixon, Johnson"
Betsy,Chotin,Research Analyst,4,"Nixon, Johnson"
Michael ,Christensen,Assistant United States Attorney,20,"Bush II, Clinton, Bush I, Reagan"
Edward,Chung,Senior Advisor,11,"Obama, Bush II"
Melanca,Clark,Chief of Staff,6,Obama
Marianna,Clay,First Assistant ,31,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Charles,Clayman,Assistant United States Attorney,4,"Ford, Nixon"
Kimberly Reiley,Clement,Assistant United States Attorney,5,"Reagan, Carter"
Ben,Clements,Assistant United States Attorney,7,Clinton
Marvin,Coan,Trial Attorney Civil Division,4,"Carter, Ford"
Tristram,Coffin,United States Attorney,17,"Obama, Bush II, Clinton"
Thomas,Coffin,Chief of the Criminal Division Southern District of California ,21,"Bush I, Reagan, Carter, Ford, Nixon"
Barbara,Cohan-Saavedra,Assistant United States Attorney / OCDETF,24,"Bush II, Clinton, Bush I, Reagan"
Matthew,Cohen,Associate Deputy Attorney General,13,"Obama, Bush II"
Derek,Cohen,"Deputy Chief, Fraud Section",9.5,"Obama, Bush II"
Sanford,Cohen,"Assistant United States Attorney-Chief, Civil Rights (EDNY)",10,"Bush II, Clinton"
Richard,Cohen,"Assistant United States Attorney, Asset Forfeiture Coordinator, WD Washington  ",37.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Barbara ,Colby Tanase,Assistant United States Attorney Supervisor Branch Offices EDMI,29,"Obama, Bush II, Clinton, Bush I"
William,Cole,Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
David,Collins,"Civil Chief, District of Maine",30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Patricia,Collins,"Assistant United States Attorney, Central District of CA, Chief Major Crimes Division",6,Reagan
Eric,Columbus,Senior Counsel to the Deputy Attorney General,6,"Obama, Bush II, Clinton"
Marie-Therese,Connolly,"Coordinator, Elder Justice Initiative, Senior Trial Counsel, Civil Division",22,"Bush II, Clinton, Bush I, Reagan"
Nicholas,Connor,"Trial Attorney, Public Integrity Section",3,"Trump, Obama"
Mark,Conrad,Assistant United States Attorney,4,Obama
Jan,Constantine,"Deputy Chief, Civil Division, EDNY",5,"Reagan, Carter"
Sally,Conway,Deputy Chief,23,"Obama, Bush II, Clinton"
James ,Cooper,"Deputy Chief, Criminal Division, USAO DC",13,"Bush II, Clinton"
Dean,Cooper,Senior Trial Attorney,5,"Clinton, Bush I"
Ellen,Corcella,"Chief, General Crimes",9,"Clinton, Bush I"
Barbara,Corprew,"Deputy Chief, Criminal Fraud Section",34,"Obama, Bush II, Clinton, Bush I, Reagan"
Michael,Cotter,United States Attorney (Montana),8,"Trump, Obama"
Patrick ,Cotter,"Assistant United States Attorney, EDNY",7,"Bush I, Reagan"
Jerry,Coughlan,Assistant US Attorney,10,"Reagan, Carter, Ford, Nixon"
Andrew,Cowan,Assistant United States Attorney,12,"Bush II, Clinton"
Susan,Cowger,Senior Litigation Counsel,23,"Obama, Bush II, Clinton, Bush I"
James,Cowles,"Assistant United States Attorney, Lead OCDETF",32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Howard,Cox,"Assistant Deputy Chief, CCIPS",6,"Obama, Bush II"
Sara,Criscitelli,"Assistant Director, Office of International Affairs",27,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Robert,Crouch,"United States Attorney, Western District of Virginia",7.5,Clinton
Matthew,Crowl,"Deputy Chief, United States Attorney’s Office, Northern District of Illinois ",11,"Bush II, Clinton, Bush I"
Daniel,Crumby,Assistant United States Attorney,5,Obama
Amanda,Cruser,Trial Attorney,5,"Bush II, Clinton"
Brooke ,Cucinella,Assistant United States Attorney ,6,"Trump, Obama"
Katherine,Culliton-Gonzalez,Senior Attorney,5,"Obama, Bush II"
Nelson,Cunningham,Assistant United States Attorney,6,"Clinton, Bush I, Reagan"
Douglas,Curless,"Assistant United States Attorney; Associate General Counsel, Criminal Litigation, FBOP (CA and DC) ",29,"Obama, Bush II, Clinton, Bush I, Reagan"
William,Currier,Assistant United States Attorney,5,"Reagan, Carter"
Barbara,Curry,Assistant United States Attorney,9,"Clinton, Bush I"
Richard,Cutler,Assistant United States Attorney,11,"Bush II, Clinton, Bush I"
Lisa,Damiano,Trial Attorney ,10,"Trump, Obama"
Mary Jude,Darrow,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Mary McGowan,Davis,"Chief, Appeals Division, EDNY",8,"Reagan, Carter"
Frederick ,Davis,Chief Appellate Attorney,4,"Carter, Ford"
Donald,Davis,United States Attorney,40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Gabe,Davis,Trial Attorney ,3.5,"Trump, Obama"
Stan,Davis,Assistant United States Attorney,4,"Reagan, Carter"
Ronald,Davis,"Director, Office of Community Oriented Policing Services (COPS)",3.5,Obama
Patrick,De Klotz,Attorney Advisor,4.8,Obama
Tom,DeCair,Special Assistant to the Attorney General and Director of Public Affairs,4,Reagan
Diane,Deforest,Assistant United States Attorney,11,"Bush II, Clinton, Reagan"
Bert,Deixler,Assistant United States Attorney ,3,Carter
Pedro,deLemos,Senior Trial Attorney,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michelle,DeLong,Assistant United States Attorney,6,"Clinton, Bush I"
Stuart,Deming,Trial Attorney ,6,"Bush I, Reagan, Carter"
Ronald,DePetris,"Chief Assistant United States Attorney, EDNY",10,"Reagan, Carter, Ford, Nixon"
George D,DeShazor Jr,"SSA, FBI",20,"Obama, Bush II, Clinton, Bush I"
Steven,Dettelbach,United States Attorney ,21,"Obama, Bush II, Clinton, Bush I"
Michael,Dettmer,USA W.D. MI,7,Clinton
John ,DiCicco,"Acting Assistant Attorney General, Tax Division",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Murray ,Dickman,Assistant to the Attorney General,3,"Bush I, Reagan"
Robert,Diegelman,Deputy Asstistant Attorney General,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
W. Thomas,Dillard,United States Attorney,18,"Reagan, Carter, Ford, Nixon, Johnson"
Dennis,Dimsey,"Deputy Chief, Appellate Section, Civil Rights Division",44,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Joseph,DiStefano,Trial Attorney,4,Nixon
Joseph,Dixon,Deputy Criminal Chief ,10,"Obama, Bush II"
Catherine,Dixon,Trial attorney,2,Reagan
Judith,Dobkin,Assistant United States Attorney,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Dolinger,"Deputy Chief, Civil Division, United States Attorney's Office, SDNY",8,"Reagan, Carter, Ford"
Linda,Donaghy,"Deputy General Counsel, JMD",28,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Sean,Donahue,"Attorney, Appellate Section, ENRD",4.5,"Bush II, Clinton"
Theodore,Doolittle,Trial Attorney,6,"Bush II, Clinton"
Kenneth,Doroshow,Senior Counsel,8,"Bush II, Clinton, Bush I"
Dan,Dorsky,Assistant United States Attorney,11,"Bush II, Clinton"
Sallian S. M.,Dougherty,"Senior Trial Attorney (Educational Opportunities Section, Civil Rights Division)",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Philip Le B. ,Douglas,"Assistant United States Attorney, SDNY",5,Reagan
Ed,Dowd,Deputy Special Counsel,13,"Clinton, Bush I, Reagan, Carter"
Gerald,Doyle,"Regional Director, SW Region, OCDETF ",27,"Trump, Obama, Bush II, Clinton, Bush I"
Robert,Dreher,"Acting Assistant Attorney General, Environment and Natural Resources Division",4.5,Obama
Jill,Dufresne,Assistant Chief Immigration Judge,39,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Linda,Eads,Senior Trial Attorney,8,"Reagan, Carter"
Terry,Eaton,Assistant United States Attorney ,6,"Obama, Bush II"
Ronnie,Edelman,"Principal Deputy Chief, Counterterrorism Section, National Security Division",31,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mark,Ehlers,Assistant United States Attorney,18,"Bush II, Clinton, Bush I, Reagan"
Susan,Ehrlich,Assistant United States Attorney ,12,"Bush I, Reagan, Carter"
Miles,Ehrlich,"Chief of the White Collar Crime Section, U.S. Attorney’s Office for the Northern District of California",11,"Bush II, Clinton"
Jennifer,Eichhorn,Senior Attorney,30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Deana,El-Mallawany,Assistant United States Attorney,4,"Trump, Obama"
James,Elkins,Assistant United States Attorney,3,"Ford, Nixon"
J. William,Elwin Jr,Trial Attorney,4,"Carter, Ford, Nixon"
Cecelia,Espenoza,Board of Immigration Appeals Judge,17,"Trump, Obama, Bush II, Clinton"
Marianne,Espinosa,Assistant United States Attorney,8.5,"Reagan, Carter"
David,Esseks,Assistant United States Attorney,12,"Bush II, Clinton"
Kelli,Evans,Senior Trial Attorney,3,Clinton
Virginia,Evans,"Chief, Civil Division, USAO, District of Maryland",25,"Bush II, Clinton, Bush I, Reagan, Carter"
Gregory ,Everts ,Trial Attorney,6.75,"Clinton, Bush I"
Sharon,Fairley,Assistant United States Attorney,8,"Obama, Bush II"
Curtis,Fallgatter,"Chief Assistant United States Attorney, Jacksonville/Ocala Divisions, Middle District of Florida",17,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Brian,Fallon,"Director, Office of Public Affairs",2,Obama
Ira,Feinberg ,"Chief Appellate Attorney, SDNY",11,"Clinton, Bush I"
Howard,Feinstein,Trial Attorney ,11,"Reagan, Carter, Ford"
Robert,Feitel,Deputy Chief,22.5,"Bush II, Clinton, Bush I, Reagan"
Kathleen,Felton,"Deputy Chief, Criminal Appellate Section",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Alan,Ferber,Attorney-Advisor for Emergency Planning,37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Edward,Ferguson,"Deputy Chief, Civil Division, USAO/SDNY",6,"Bush I, Reagan"
Teresa,Ferrante,Deputy Chief,3,Bush II
Noel Anne,Ferris,Immigration Judge,28,"Obama, Bush II, Clinton, Bush I, Reagan"
Frank,Figliuzzi,FBI Assistant Director,25,"Obama, Bush II, Clinton, Bush I"
Katharine ,Fincham,"Chief, Computer Crimes and Child Exploitation Unit",20,"Obama, Bush II, Clinton"
Daren,Firestone,Trial Attorney,6,"Obama, Bush II"
Louis ,Fischer ,"Senior Attorney, Appellate Section, Criminal Division, DOJ",30,"Bush II, Clinton, Bush I, Reagan, Carter"
Eric,Fisher,Assistant United States Attorney,3,"Bush II, Clinton"
Walter,Fisherow,Section Chief,29,"Obama, Bush II, Clinton, Bush I"
Paul,Fishman,"United States Attorney, DNJ",22,"Trump, Obama, Clinton, Bush I, Reagan"
Joyce,Fitzpatrick,Assistant United States Attorney,6,"Bush I, Reagan"
Catherine,Flanagan,Trial Attorney,7,"Clinton, Bush I"
John,Flannery,"Assistant United States Attorney, SDNY",5,Nixon
John,Fleder,"Director, Office of Consumer Litigation",20,"Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Carole,Florman,"Deputy Director, Office of Public Affairs",5.5,Clinton
Diana,Flynn,"Chief, Appellate Section, Civil Rights Division",33.5,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Daniel,Forman,Assistant United States Attorney,3,"Reagan, Carter"
Jonathan,Forman,Trial Attorney,4,"Reagan, Carter"
Robert,Fourr,Assistant United States Attorney ,7,"Reagan, Carter"
George,Frampton,"Assistant Special Prosecutor, Waterage Special Prosecution Force",3,"Ford, Nixon"
Jonny,Frank,Executive Assistant United States Attorney,12,"Clinton, Bush I, Reagan"
Robert,Frantz,Trial Attorney,3,Carter
Sharon,Frase,"Assistant United States Attorney, SDNY",3.5,"Obama, Bush II"
Brin,Frazier,Chief Speechwriter to the Attorney General,3,Obama
Carol,Freeman,Assistant United States Attorney,4,"Johnson, Kennedy"
Mary Ann,French,Lead Intelligence Reseach Analyst,35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Susan,French,Senior Special Counsel for Human Trafficking,24,"Obama, Bush II, Reagan, Carter"
Andrew,Frisch,Senior Litigation Counsel ,11,"Bush II, Clinton"
Henry ,Frohsin ,"First Assistant United States Attorney, ND Alabama",15,"Reagan, Carter, Ford, Nixon"
Steven,Froot,"Deputy Chief of Appeals, Civil Division, SDNY",6,"Clinton, Bush I"
Roger ,Frydrychowski ,Assistant United States Attorney,10,"Clinton, Bush I, Reagan"
James,Fujimoto ,Immigration Judge ,29,"Trump, Obama, Bush II, Clinton, Bush I"
Mary,Fulginiti,Assistant United States Attorney,5,"Clinton, Bush I"
Christopher C.,Fuller,"Deputy Chief, National Security Unit, Civil Div.",22,"Trump, Obama, Bush II, Clinton"
Robert,Gaffey,"Assistant United States Attorney, SDNY",4,Reagan
Robert,Gallagher,Senior Trial Attorney,3,Nixon
Brian,Galle,Attorney,3,Bush II
Harriett,Galvin,Assistant United States Attorney,27,"Obama, Bush II, Clinton, Bush I"
Douglas,Gansler,Assistant United States Attorney,6,"Obama, Bush II"
Marc,Garber,Assistant United States Attorney,9,"Bush II, Clinton, Bush I"
Paul,Garcia,Assistant United States Attorney,5,Clinton
Lynda,Garcia,Trial Attorney,2.5,"Trump, Obama"
Kay,Gardiner,"Deputy Chief, Civil Division, SDNY",12,"Clinton, Bush I"
Cecilia,Gardner,Assistant United States Attorney,14,"Bush II, Clinton, Bush I, Reagan"
